Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year_Month,A,B,Quarter,Year_Quarter,公司 代號_x,公司名稱_x,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,年度/季別,毛利率%,營業利益率%,稅前淨利率%,稅後淨利率%,統計期,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%),公司 代號_y,公司名稱_y,營業費用,所得稅費用（利益）,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期綜合損益總額,營業收入,營業成本,營業毛利（毛損）,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益
2023-01-03,433.0970440121413,440.3800660527042,430.1838351959161,439.89453125,14885824,0.0,0.0,202301,1.0168161434977578,0.02354260089686098,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-04,436.4957885742188,441.83667141550507,435.52471896671216,436.4957885742188,19188422,0.0,0.0,202301,1.0122358175750832,0.014460511679643998,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-05,445.7209473987442,446.2064821998322,441.83666899004055,445.23541259765625,23549581,0.0,0.0,202301,1.0010893246187365,0.009803921568627496,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-06,441.83666899004055,446.2064821998322,441.83666899004055,445.23541259765625,20886011,0.0,0.0,202301,1.0098901098901099,0.009890109890109937,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-09,454.4605679898648,467.08447265625,453.9750331950039,467.08447265625,46666263,0.0,0.0,202301,1.027777777777778,0.02884615384615384,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-10,471.9397888183594,472.910858342677,469.02658024540654,471.9397888183594,32646014,0.0,0.0,202301,1.0020576131687242,0.00823045267489713,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-11,472.9108893017528,473.8819588896414,468.0555413623097,470.4832153320313,21051115,0.0,0.0,202301,1.002053388090349,0.012320328542094488,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-12,473.3963930104521,473.8819277725141,469.9976496760181,472.4253234863281,20963689,0.0,0.0,202301,1.001025641025641,0.008205128205128087,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-13,492.3322770996094,494.2744162597656,484.5637204589844,485.5347900390625,77606949,0.0,0.0,202301,1.0039447731755422,0.019723865877711917,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-16,491.3611451403929,493.3032840539913,488.44793676999535,490.39007568359375,34373918,0.0,0.0,202301,1.0039525691699605,0.009881422924901167,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-17,489.419067625497,489.419067625497,485.049254521698,488.447998046875,27770329,0.0,0.0,202301,1.0,0.008928571428571272,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-30,526.319762846383,527.2908325195312,518.5512054611964,527.2908325195312,124428936,0.0,0.0,202301,1.0018450184501844,0.016605166051660576,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-01-31,521.4643589765176,522.4354285463063,505.9272458598989,506.8983154296875,72530854,0.0,0.0,202301,1.0018621973929238,0.031657355679701946,1,2023Q1,2330,台積電,200050544,192560242,172176110,3.88,16.18,200050544,172176110,16.18,無。,2023Q1,56.33,45.46,48.03,40.69,112年1月,23128,20090,11887,11471,416,86.87,51.4,59.17,49.6,57.1,96.5,3.5,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-02-01,516.6089479842276,517.5800174353258,506.8982534732459,514.6668090820312,33710990,0.0,0.0,202302,1.0018796992481203,0.020676691729323234,1,2023Q1,2330,台積電,163174097,200050544,146933238,-18.43,11.05,363224641,319109348,13.82,無。,2023Q1,56.33,45.46,48.03,40.69,112年2月,23152,20117,11906,11485,420,86.89,51.43,59.18,49.61,57.09,96.47,3.53,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-02-02,522.4354243525752,526.3197026005498,521.4643547905816,524.3775634765625,43077053,0.0,0.0,202302,1.0074349442379185,0.009293680297397787,1,2023Q1,2330,台積電,163174097,200050544,146933238,-18.43,11.05,363224641,319109348,13.82,無。,2023Q1,56.33,45.46,48.03,40.69,112年2月,23152,20117,11906,11485,420,86.89,51.43,59.18,49.61,57.09,96.47,3.53,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-02-03,524.3776238360527,526.3197631835938,520.493345140971,526.3197631835938,31635865,0.0,0.0,202302,1.0037037037037038,0.01111111111111105,1,2023Q1,2330,台積電,163174097,200050544,146933238,-18.43,11.05,363224641,319109348,13.82,無。,2023Q1,56.33,45.46,48.03,40.69,112年2月,23152,20117,11906,11485,420,86.89,51.43,59.18,49.61,57.09,96.47,3.53,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-02-06,516.6090410471869,517.5801106732155,510.7826232910156,510.7826232910156,30870136,0.0,0.0,202302,1.0018796992481203,0.013157894736842143,1,2023Q1,2330,台積電,163174097,200050544,146933238,-18.43,11.05,363224641,319109348,13.82,無。,2023Q1,56.33,45.46,48.03,40.69,112年2月,23152,20117,11906,11485,420,86.89,51.43,59.18,49.61,57.09,96.47,3.53,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
2023-02-07,508.8404543349665,512.7247326123327,506.8983151962835,507.869384765625,23481767,0.0,0.0,202302,1.0076335877862594,0.011450381679389237,1,2023Q1,2330,台積電,163174097,200050544,146933238,-18.43,11.05,363224641,319109348,13.82,無。,2023Q1,56.33,45.46,48.03,40.69,112年2月,23152,20117,11906,11485,420,86.89,51.43,59.18,49.61,57.09,96.47,3.53,2330,台積電,55309344.0,37325895,203834717,-181454,7.98,244274931.0,206949036.0,206949036.0,203653263.0,508632973.0,222132581,286500392.0,286500392.0,47109,231238157.0,13036774.0,-3295773,206986561,-37525
